InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536384,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,12/1/2010 9:53,0.65,18074,United Kingdom
536384,22464,HANGING METAL HEART LANTERN,12,12/1/2010 9:53,1.65,18074,United Kingdom
536384,21324,HANGING MEDINA LANTERN SMALL,6,12/1/2010 9:53,2.95,18074,United Kingdom
536384,22457,NATURAL SLATE HEART CHALKBOARD ,12,12/1/2010 9:53,2.95,18074,United Kingdom
536384,22469,HEART OF WICKER SMALL,40,12/1/2010 9:53,1.45,18074,United Kingdom
536384,22470,HEART OF WICKER LARGE,40,12/1/2010 9:53,2.55,18074,United Kingdom
536384,22224,WHITE LOVEBIRD LANTERN,6,12/1/2010 9:53,2.95,18074,United Kingdom
536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12/1/2010 9:53,12.75,18074,United Kingdom
536384,22189,CREAM HEART CARD HOLDER,4,12/1/2010 9:53,3.95,18074,United Kingdom
536384,22427,ENAMEL FLOWER JUG CREAM,3,12/1/2010 9:53,5.95,18074,United Kingdom
536384,22428,ENAMEL FIRE BUCKET CREAM,6,12/1/2010 9:53,6.95,18074,United Kingdom
536384,22424,ENAMEL BREAD BIN CREAM,8,12/1/2010 9:53,10.95,18074,United Kingdom
536385,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,12/1/2010 9:56,19.95,17420,United Kingdom
536385,22366,DOORMAT AIRMAIL ,2,12/1/2010 9:56,7.95,17420,United Kingdom
536385,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,12/1/2010 9:56,2.95,17420,United Kingdom
536385,21028,HASLETES VINTAGE WATER COOLER,2,12/1/2010 9:56,2.55,17420,United Kingdom
536385,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 9:56,4.25,17420,United Kingdom
536385,82583,HOT BATHS METAL SIGN,3,12/1/2010 9:56,2.1,17420,United Kingdom
536385,21524,DOORMAT SPOTTY HOME SWEET HOME,2,12/1/2010 9:56,7.95,17420,United Kingdom
536386,84880,WHITE WIRE EGG RECEPTACLE,36,12/1/2010 9:57,4.95,16029,United Kingdom
536386,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,12/1/2010 9:57,1.65,16029,United Kingdom
536386,85099B,JUMBO BAG RED RETROSPOT,100,12/1/2010 9:57,1.65,16029,United Kingdom
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,12/1/2010 10:24,1.65,17548,United Kingdom
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,12/1/2010 10:24,0.29,17548,United Kingdom
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,12/1/2010 10:24,3.45,17548,United Kingdom
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,12/1/2010 10:24,1.65,17548,United Kingdom
C536391,22553,PLASTERS IN TIN SKULLS,-24,12/1/2010 10:24,1.65,17548,United Kingdom
536392,22150,3 STRIPEY MICE FELTCRAFT,6,12/1/2010 10:29,1.95,13705,United Kingdom
536392,22619,SET OF 6 SOLDIER SKITTLES,3,12/1/2010 10:29,3.75,13705,United Kingdom
536392,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,21889,WOODEN BOX OF DOMINOES,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,12/1/2010 10:29,165.0,13705,United Kingdom
536392,22127,PARTY CONES CARNIVAL ASSORTED,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,22128,PARTY CONES CANDY TREE DECORATION,12,12/1/2010 10:29,1.25,13705,United Kingdom
536392,22502,PICNIC BASKET WICKER SMALL,4,12/1/2010 10:29,5.95,13705,United Kingdom
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2010 10:29,1.69,13705,United Kingdom
536392,22338,STAR DECORATION PAINTED ZINC ,24,12/1/2010 10:29,0.65,13705,United Kingdom
536393,22180,RETROSPOT LAMP,8,12/1/2010 10:37,9.95,13747,United Kingdom
536394,22633,HAND WARMER UNION JACK,96,12/1/2010 10:39,1.85,13408,United Kingdom
536394,22866,HAND WARMER SCOTTY DOG DESIGN,96,12/1/2010 10:39,1.85,13408,United Kingdom
536394,22865,HAND WARMER OWL DESIGN,96,12/1/2010 10:39,1.85,13408,United Kingdom
536394,22632,HAND WARMER RED POLKA DOT,96,12/1/2010 10:39,1.85,13408,United Kingdom
536395,22188,BLACK HEART CARD HOLDER,8,12/1/2010 10:47,3.95,13767,United Kingdom
536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 10:47,1.69,13767,United Kingdom
536395,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/2010 10:47,0.55,13767,United Kingdom
536395,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2010 10:47,0.55,13767,United Kingdom
536395,21212,PACK OF 72 RETROSPOT CAKE CASES,24,12/1/2010 10:47,0.55,13767,United Kingdom
536395,21484,CHICK GREY HOT WATER BOTTLE,8,12/1/2010 10:47,3.45,13767,United Kingdom
536395,21314,SMALL GLASS HEART TRINKET POT,8,12/1/2010 10:47,2.1,13767,United Kingdom
536395,22730,ALARM CLOCK BAKELIKE IVORY,4,12/1/2010 10:47,3.75,13767,United Kingdom
536395,22727,ALARM CLOCK BAKELIKE RED ,4,12/1/2010 10:47,3.75,13767,United Kingdom
536395,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/1/2010 10:47,3.75,13767,United Kingdom
536395,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 10:47,3.75,13767,United Kingdom
536395,22728,ALARM CLOCK BAKELIKE PINK,4,12/1/2010 10:47,3.75,13767,United Kingdom
536395,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,12/1/2010 10:47,3.95,13767,United Kingdom
536395,22867,HAND WARMER BIRD DESIGN,24,12/1/2010 10:47,2.1,13767,United Kingdom
536395,22866,HAND WARMER SCOTTY DOG DESIGN,24,12/1/2010 10:47,2.1,13767,United Kingdom
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 10:51,2.55,17850,United Kingdom
536396,71053,WHITE METAL LANTERN,6,12/1/2010 10:51,3.39,17850,United Kingdom
536396,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 10:51,2.75,17850,United Kingdom
536396,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 10:51,3.39,17850,United Kingdom
536396,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 10:51,3.39,17850,United Kingdom
536396,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 10:51,7.65,17850,United Kingdom
536396,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 10:51,4.25,17850,United Kingdom
536396,22803,IVORY EMBROIDERED QUILT ,2,12/1/2010 10:51,35.75,17850,United Kingdom
536396,22802,FAUX FUR CHOCOLATE THROW,2,12/1/2010 10:51,19.95,17850,United Kingdom
536397,22650,CERAMIC HEART BONBON JAR,4,12/1/2010 10:51,1.65,17924,United Kingdom
536397,20936,FORKED CACTUS STRING LIGHTS,2,12/1/2010 10:51,3.75,17924,United Kingdom
536398,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,12/1/2010 10:52,0.29,13448,United Kingdom
